Report Number,title,abstract,link,author,outlier
No. 266: ,Intra-EU investment protection in a post-Achmea world,No. 266: ,/sites/default/files/content/docs/publications/No-266-Bermann-and-Gaffney-FINAL.pdf,",” by George A. Bermann and John P. Gaffney",
,中文版,In ,/sites/default/files/content/docs/publications/No-266-Bermann-and-Gaffney-FINAL-CHINESE-version.pdf,", the CJEU found that Hungary failed to fulfil its obligations under EU law by restricting EU investors’ rights. This "," considers what the judgment means for the future of intra-EU investment protection, and whether it will approximate the level of protection currently enjoyed under investor-state arbitration.  "
No. 265: ,An international framework to discipline outward FDI incentives?,No. 265: ,/sites/default/files/content/docs/publications/No-265-Sauvant-and-Boullanger-FINAL.pdf,",” by Karl P. Sauvant and Clémence Boullanger",
,中文版,"As more countries report outward FDI, home country support for outward FDI is becoming more common. This ",/sites/default/files/content/docs/publications/No-265-Sauvant-and-Boullanger-FINAL-CHINESE-version.pdf," argues that any home country assistance should focus on projects with domestic benefits, and proposes discussions on an international outward FDI-incentives agreement to avoid wasteful incentive competition between countries.  ",
No. 264: ,China’s new Foreign Investment Law: deeper reform and more trust are needed,No. 264: ,/sites/default/files/content/docs/publications/No-264-Zheng-FINAL.pdf,",” by Yun Zheng",
,中文版,"Against a backdrop of international economic turbulence, China passed the new Foreign Investment Law aiming to boost the trust of international investors. This ",/sites/default/files/content/docs/publications/No-264-Zheng-FINAL-CHINESE-version.pdf," highlights its three focal points: the efforts on investment facilitation, the establishment of a National Treatment and Negative List mechanism, and investment protection.  ",
No. 263: ,Strengthening multi-stakeholder cooperation in the international investment regime: The Brazilian model,No. 263: ,http://ccsi.columbia.edu/files/2018/10/No-263-Morosini-Nicol%C3%A1s-M.-Perrone-and-Michelle-R.-Sanchez-Badin-FINAL.pdf,",” by Fabio Morosini, Nicolás M. Perrone and Michelle R. Sanchez-Badin",
,中文版,"The rule of law and dispute avoidance and settlement may not be enough to turn FDI into a means to the realization of the SDGs. Multi-stakeholder dialogue and cooperation should also be a central aspect of any institutional design. In this regard, the Brazilian model, at least in theory, scores better than most existing treaties and reform proposals.  ",/sites/default/files/content/docs/publications/No-263-Morosini-Nicolás-M.-Perrone-and-Michelle-R.-Sanchez-Badin-FINAL-CHINESE-version.pdf,,
No. 262: ,Guaranteeing the independence of the judges of a Multilateral Investment Court: A must for building the Court’s credibility,No. 262: ,/sites/default/files/content/docs/publications/No-262-Gulati-and-Lavranos-FINAL.pdf,",” by Rishi Gulati and Nikos Lavranos",
,中文版,"Any future Multilateral Investment Court’s independence and impartiality must be guaranteed. If it does not live up to the standards of independence expected of a modern international court, there is little point in contemplating this reform as it is unlikely to remedy the criticisms leveled at the investment arbitration regime.  ",/sites/default/files/content/docs/publications/No-262-Gulati-and-Lavranos-FINAL-CHINESE-version.pdf,,
No. 261: ,FDI has benefitted the EU members from Central and Eastern Europe and can continue to do so,No. 261: ,/sites/default/files/content/docs/publications/No-261-Zimny-FINAL.pdf,",” by Zbigniew Zimny",
,中文版,"Large roles of foreign firms in Central and Eastern Europe are seen as risky and disconcerting to some. They, however, largely reflect FDI contributions critical for economic development  ̶  and difficult to achieve with domestic resources  ̶  which can continue in the foreseeable future.  ",/sites/default/files/content/docs/publications/No-261-Zimny-FINAL-CHINESE-version.pdf,,
No. 260: ,Do not neglect establishment trade: the China-US example,No. 260: ,/sites/default/files/content/docs/publications/No-260-Sauvant-FINAL.pdf,",” by Karl P. Sauvant",
,中文版,This ,/sites/default/files/content/docs/publications/No-260-Sauvant-FINAL-CHINESE-version.pdf," suggests that, to assess the competitiveness of a country’s firms, one needs not only to look at exports, but also the sales of their foreign affiliates (“establishment trade”). It exemplifies this for the China-US trade relationship. Taking such a holistic approach leads to a different picture, with a clear policy implication.  ",
No. 259: ,Investment facilitation for sustainable development: Getting it right for developing countries,No. 259: ,/sites/default/files/content/docs/publications/No-259-Mann-and-Brauch-FINAL.pdf,",” by Howard Mann and Martin Dietrich Brauch",
,中文版,"The push for WTO negotiations leading to binding rules on investment facilitation is taking place without empirical analysis and without attention to developing country needs in facilitating investment for sustainable development. Investment-facilitation work belongs not in the WTO, but in organizations that focus on research, best practice and capacity building.  ",/sites/default/files/content/docs/publications/No-259-Mann-and-Brauch-FINAL-CHINESE-version.pdf,,
No. 258: ,How to limit treaty-shopping,No. 258: ,/sites/default/files/content/docs/publications/No-258-de-Stefano-FINAL.pdf,",” by Carlo de Stefano",
,中文版,"Investors’ treaty-shopping continues to represent a source of unpredictability regarding issues of jurisdiction and/or admissibility before arbitral tribunals. States should consider effectively solving this through apposite treaty provisions. Such clauses would include definitions of corporate investors requiring substantial business activities in the home State, denial-of-benefits and carve-out of dispute-settlement issues from MFN treatment.  ",/sites/default/files/content/docs/publications/No-258-de-Stefano-FINAL-CHINESE-version.pdf,,
No. 257: ,Challenges for the EU-China BIT negotiations,No. 257: ,/sites/default/files/content/docs/publications/No-257-Liang-FINAL.pdf,",” by Yong Liang",
,中文版,"The EU-China Summit Joint Statement in April 2019 set an ambitious target for the conclusion of an EU-China Comprehensive Investment Agreement in 2020. However, some critical concerns remain to be addressed. This ",/sites/default/files/content/docs/publications/No-257-Liang-FINAL-CHINESE-version.pdf," discusses market access, national treatment, investment court system and “investment-plus” and “investment-extra” issues and gives some suggestions.  ",
No. 256: ,Incentivizing sustainable FDI: The Authorized Sustainable Investor,No. 256: ,/sites/default/files/content/docs/publications/No-256-Gabor-and-Sauvant-FINAL.pdf,",” by Evan Gabor and Karl P. Sauvant",
,中文版,"To help countries attract sustainable FDI, the authors suggest to create the category “Authorized Sustainable Investor”. They outline the qualifying criteria, as well as the additional benefits that would make it worthwhile for investors to seek this status.  ",/sites/default/files/content/docs/publications/No-256-Gabor-and-Sauvant-FINAL-CHINESE-version.pdf,,
No. 255: ,A legally binding instrument on business and human rights to advance accountability and access to justice,No. 255: ,/sites/default/files/content/docs/publications/No-255-Mohamadieh-FINAL.pdf,",” by Kinda Mohamadieh",
,中文版,Discussions of a legally binding instrument on business and human rights provide opportunity to advance international law in a way that contributes to prevention of human rights violations by transnational business and strengthens legal responses to such violations. The author reviews multiple points of contention in these discussions.  ,/sites/default/files/content/docs/publications/No-255-Mohamadieh-FINAL-CHINESE-version.pdf,,
No. 254: ,Assessing the legality of data-localization requirements: Before the tribunals or at the negotiating table?,No. 254: ,/sites/default/files/content/docs/publications/No-254-Creach-FINAL.pdf,” by Marion A. Creach,
,中文版,"Local data-storage and/or processing requirements presumably violate national treatment provisions of the GATS and international investment agreements. Investors could challenge data-localization measures before the tribunals, or decision-makers and engineers could design an international legal framework on data flow restrictions to ensure openness, certainty and efficiency while achieving public policy objectives.  ",/sites/default/files/content/docs/publications/No-254-Creach-FINAL-CHINESE-version.docx.pdf,,
No. 253: ,The case against third-party funding in investment arbitration,No. 253: ,/sites/default/files/content/docs/publications/No-253-Garcia-and-Hough-FINAL.pdf,by Frank J. Garcia and Kirrin Hough,
,中文版,"The rapid increase of third-party funding (TPF) in investor-state dispute-settlement (ISDS) raises concerns about effects TPF may have on the stability, fairness and legitimacy of the investment treaty regime. States and other stakeholders should critically assess the risks posed by TPF in its current form, and regulate, if not ban, TPF in investment disputes.  ",/sites/default/files/content/docs/publications/No-253-Garcia-and-Hough-FINAL-CHINESE-version.pdf,,
No. 252: ,"Will the United States join the Trans-Pacific Partnership, the Comprehensive and Progressive Agreement for Trans-Pacific Partnership, or neither?",No. 252: ,/sites/default/files/content/docs/publications/No-252-Douglas-FINAL.pdf,",” by Adam Douglas",
,中文版,This ,/sites/default/files/content/docs/publications/No-252-Douglas-FINAL-CHINESE-version.pdf," examines the conditions under which the US could re-join TPP or join CPTPP. The author notes that ratification is unlikely in the near future while observing that the US could seek to re-enter negotiations to access potential trade benefits, give effect to its investment provisions and secure influence in the Pacific Rim.  ",
No. 251: ,Promoting sustainable FDI through international investment agreements,No. 251: ,/sites/default/files/content/docs/publications/No-251-Sauvant-FINAL.pdf,",” by Karl P. Sauvant",
,中文版,"The author identifies ways to promote sustainable FDI through investment treaties, including by using contribution to development as a criterion when applying treaties, defining investment explicitly in reference to contribution to development, allowing governments to grant preferential treatment to sustainable FDI, and incorporating binding CSR references in investment treaties.  ",/sites/default/files/content/docs/publications/No-251-Sauvant-FINAL-CHINESE-version.pdf,,
No. 250: ,The next generation of Chinese investment treaties: A balanced paradigm in an era of change,No. 250: ,/sites/default/files/content/docs/publications/No-250-Zhang-FINAL.pdf,",” by Qianwen Zhang",
,中文版 ,China’s Foreign Investment Law reflects substantial changes in China’s foreign investment legal regime. This Perspective discusses two new characteristics of the new generation of Chinese investment treaties: they are based on a balanced paradigm and they are becoming more influential at the domestic level.  ,/sites/default/files/content/docs/publications/No-250-Zhang-FINAL-CHINESE-version.pdf,,
No. 249: ,How to analyze the impact of bilateral investment treaties on FDI,No. 249: ,/sites/default/files/content/docs/publications/No-249-Kerner-FINAL.pdf,",” by Andrew Kerner",
,中文版,"Bilateral investment treaties are often thought to impact the behaviors of multinational corporations, though it is not entirely clear that they do. That ambiguity stems partly from FDI data being ill-suited to answering the question. More suitable data sources exist, however, and should be used.  ",/sites/default/files/content/docs/publications/No-249-Kerner-FINAL-CHINESE-version.pdf,,
No. 248: ,Investment dispute settlement à la carte within a multilateral institution: A path forward for the UNCITRAL process?,No. 248: ,/sites/default/files/content/docs/publications/No-248-Schill-and-Vidigal-FINAL.pdf,",” by Stephan W. Schill and Geraldo Vidigal",
,中文版,"Divergent models for investment dispute settlement risk producing legal fragmentation. States should consider a Multilateral Institution for Dispute Settlement on Investment (MIDSI) permitting dispute settlement “à la carte”. Within MIDSI, a Multilateral Investment Court could settle investor-state disputes on an opt-in basis and serve other systemic functions.  ",/sites/default/files/content/docs/publications/No-248-Schill-and-Vidigal-FINAL-CHINESE-version.docx.pdf,,
No. 247: ,The state of the international investment law and policy regime,No. 247: ,/sites/default/files/content/docs/publications/No-247-Sauvant-FINAL.pdf,",” by Karl P. Sauvant",
,中文版,"The author reviews the state of the investment regime, which is probably the strongest international regime in existence today. He identifies three main areas for improvement, relating to the regime’s objectives, substantive provisions and dispute-settlement mechanism. Changes will have to be driven by civil society.  ",/sites/default/files/content/docs/publications/No-247-Sauvant-FINAL-CHINESE-version.pdf,,
No. 246: ,Is international investment threatening or under threat?,No. 246: ,/sites/default/files/content/docs/publications/No-246-Pohl-FINAL.pdf,",” by Joachim Pohl",
,中文版,"An increasing number of countries establish FDI screening mechanisms to manage threats to security interests associated with international investment. Multiple reviews in different jurisdictions may delay or derail transactions unless governments cooperate, harmonize their policies and potentially recognize partly or in full their peers’ decisions.  ",/sites/default/files/content/docs/publications/No-246-Pohl-FINAL-CHINESE-version.pdf,,
No. 245: ,A future European FDI screening system: solution or problem?,No. 245: ,/sites/default/files/content/docs/publications/No-245-Esplugues-Final.pdf,",” by Carlos Esplugues",
,中文版,"The establishment of a mechanism at the European level for screening FDI, on the grounds of national security and public order, constitutes a major step in implementing the EU investment policy. To create an effective system, it must be based on clear common rules, provide certainty and ensure judicial redress.  ",/sites/default/files/content/docs/publications/No-245-Esplugues-Final-CHINESE-version.pdf,,
No. 244: ,China’s Belt and Road investment governance: building a hybrid model,No. 244: ,/sites/default/files/content/docs/publications/No-244-Feldman-FINAL.pdf,",” by Mark Feldman",
,中文版,"If designed and implemented as an effective and sustainable hybrid model, investment governance under China’s Belt and Road Initiative could contribute greatly to its success. Striking an appropriate balance between the ambition of a state-driven model and the inclusiveness of a transnational policy network model will be of central importance.  ",/sites/default/files/content/docs/publications/No-244-Feldman-FINAL_0.pdf,,
No. 243: ,"Five key considerations for the WTO investment-facilitation discussions, going forward",No. 243: ,/sites/default/files/content/docs/publications/No-243-Sauvant-FINAL.pdf,",” by Karl P. Sauvant",
,中文版,"The WTO’s discussions on investment facilitation for development, going forward, should reflect on five key issues to achieve a broadly acceptable outcome: the scope of a framework; the development dimension; the balance of a framework; ground-level practical input; and capacity building.  ",/sites/default/files/content/docs/publications/No-243-Sauvant-FINAL-CHINESE-version.pdf,,
No. 242: ,How to leverage outward FDI for development? A six-step guide for policymakers,No. 242: ,/sites/default/files/content/docs/publications/No-242-Stephenson-and-Perea-FINAL.pdf,",” by Matthew Stephenson and Jose Ramon Perea",
,中文版,OFDI can increasingly serve as an additional channel for countries to achieve their development goals. This ,/sites/default/files/content/docs/publications/No-242-Stephenson-and-Perea-FINAL_0.pdf," proposes a six-step framework to help policymakers think through how best to facilitate, support and promote OFDI to maximize the benefits for the home economy.  ",
No. 241: ,Lessons for a future advisory center on international investment law,No. 241: ,/sites/default/files/content/docs/publications/No-241-Schwieder-FINAL.pdf,",” by Robert W. Schwieder",
,中文版,"To level the playing-field in investment-state dispute-settlement, an advisory center on international investment law (ACIIL) should be established. But any center must be carefully constructed to maximize its impartiality, capture a broad base of political and economic support and provide high-quality services while maintaining a cost-effective structural footprint.  ",/sites/default/files/content/docs/publications/No-241-Schwieder-FINAL-CHINESE-version.pdf,,
No. 240: ,Investment facilitation: leaving the past behind,No. 240: ,/sites/default/files/content/docs/publications/No-240-Hees-Choer-Cavalcante-Paranhos-FINAL.pdf,",” by Felipe Hees, Henrique Choer Moraes, Pedro Mendonça Cavalcante, and Pedro Barreto da Rocha Paranhos",
,中文版,"WTO discussions on investment facilitation have drawn attention to an issue that directly contributes to improving domestic governance, without reviving the negative experience of past multilateral investment discussions. This ",/sites/default/files/content/docs/publications/No-240-Hees-Choer-Cavalcante-Paranhos-FINAL-CHINESE-version.pdf," advances this conversation with elements from the Brazilian experience with signing investment agreements, in which facilitation is a key feature.  ",
No. 239: ,High time for government action to make the OECD Guidelines a force for sustainable FDI,No. 239: ,/sites/default/files/content/docs/publications/No-239-Wilde-Ramsing-and-Ingrams-FINAL.pdf,",” by Joseph M. Wilde-Ramsing and Marian G. Ingrams",
,中文版,"FDI can be responsible only if it is accountable to workers and communities negatively impacted by investments and the OECD Guidelines for Multinational Enterprises should ensure accountability for victims of corporate misconduct. However, until the OECD’s complaint mechanism is significantly reformed, victims will lack effective access to remedy.  ",/sites/default/files/content/docs/publications/No-239-Wilde-Ramsing-and-Ingrams-FINAL-CHINESE-version.pdf,,
No. 238: ,Regional cooperation to enhance FDI in the development of offshore resources,No. 238: ,/sites/default/files/content/docs/publications/No-238-Tornaritis-and-Neophytou-FINAL.pdf,",” by Andreas Tornaritis and Evi Neophytou",
,中文版,"Country-specific regulatory limitations and geopolitical challenges do not allow countries in the Eastern Mediterranean to reach their full potential. The establishment of a Scientific Forum, that would encourage regional cooperation through interactions and recommendations, could lower risks and enhance FDI in the exploration and development of offshore resources.  ",/sites/default/files/content/docs/publications/No-238-Tornaritis-and-Neophytou-FINAL-CHINESE-version.pdf,,
No. 237: ,Host country concerns and policies toward state-owned MNEs,No. 237: ,/sites/default/files/content/docs/publications/No-237-Cuervo-Cazurra-FINAL.pdf,",” by Alvaro Cuervo-Cazurra",
,中文版,Different concerns about FDI by state-owned enterprises require separate policies: national security concerns can be dealt by exclusion of all foreign investors; worries about the opacity of foreign SOEs can be solved via monitoring; and unease about adversarial governments’ SOEs can be reduced using controls.  ,/sites/default/files/content/docs/publications/No-237-Cuervo-Cazurra-FINAL-CHINESE-version.pdf,,
No. 236: ,To what extent has FDI benefited the transition economies of Central and Eastern Europe?,No. 236: ,/sites/default/files/content/docs/publications/No-236-Kekic-FINAL.pdf,",” by Laza Kekic",
,中文版,An empirical estimate shows that FDI has had only a weak positive impact on GDP growth in transition economies of Central and Eastern Europe. Convergence with the developed EU is slowing and these countries will need to develop growth strategies that do not depend overwhelmingly on FDI.  ,/sites/default/files/content/docs/publications/No-236-Kekic-FINAL-CHINESE-version.pdf,,
No. 235: ,Investment facilitation: new dynamism at the WTO on investment,No. 235: ,/sites/default/files/content/docs/publications/No-235-Joseph-FINAL-1.pdf,",” by Reji K. Joseph",
,中文版,"The proposal for an investment facilitation agreement has brought about a new dynamism on investment issues at the WTO. Unlike in the past, it is the developing countries and least developed countries who champion the discussions. They hold that trade and investment policies are inseparable. ",/sites/default/files/content/docs/publications/No-235-Joseph-FINAL-CHINESE-version.pdf,,
No. 234:,Do developing countries benefit from outward FDI?,No. 234:,/sites/default/files/content/docs/publications/No-234-Knoerich-FINAL.pdf,",” by Jan Knoerich",
,中文版,Developing countries can benefit from outward FDI undertaken by their own “emerging multinational enterprises”. This ,/sites/default/files/content/docs/publications/No-234-Knoerich-FINAL-CHINESE-version.pdf," outlines how outward FDI contributes to the development of home economies, and discusses potential harmful effects. An appropriate outward FDI policy can enhance the development benefits from outward FDI for home economies.  ",
No. 233:,Moving with the times: amending the ICSID rules,No. 233:,/sites/default/files/content/docs/publications/No-233-Kinnear-FINAL.pdf,",” by Meg Kinnear",
,中文版,ICSID is amending its rules for resolving international investment disputes. This ,/sites/default/files/content/docs/publications/No-233-Kinnear-FINAL-CHINESE-version.pdf,"outlines changes proposed by the ICSID Secretariat in August 2018, which draw on input from governments, the private sector and the public. The proposals update ICSID’s existing rules for arbitration, conciliation and fact-finding, and introduce new mediation rules. ",
No. 232: ,Investment facilitation: Another fad in the offing?,No. 232: ,/sites/default/files/content/docs/publications/No-232-Singh-FINAL.pdf,",” by Kavaljit Singh",
,中文版,Discussions have begun in the WTO on investment facilitation. This ,/sites/default/files/content/docs/publications/No-232-Singh-FINAL-CHINESE-version.pdf, questions the purpose of “top-down” multilateral binding rules on investment facilitation and suggests that the current proposals are far detached from ground realities. ,
No. 231: ,CFIUS reforms must be reformed,No. 231: ,/sites/default/files/content/docs/publications/No-231-Moran-FINAL.pdf,",” by Theodore H. Moran",
,中文版,"Congress and the White House are proposing a fundamental “reform” of CFIUS regulations, via the Foreign Investment Risk Review Modernization Act. This ",/sites/default/files/content/docs/publications/No-231-Moran-FINAL-CHINESE-version.pdf, argues that these so-called reforms would damage US interests and shows how the FIRRMA reforms must be reformed. ,
No. 230: ,Foreign direct investment and “peak globalization”,No. 230: ,/sites/default/files/content/docs/publications/No-230-Braga-FINAL.pdf,",” by Carlos A. Primo Braga",
,中文版,This ,/sites/default/files/content/docs/publications/No-230-Braga-FINAL_0.pdf,"discusses if globalization has stalled and what the implications for FDI decisions and policies are. Efficiency-seeking investments are being affected by protectionist policies and the retrenchment of global value chains, which favor market-seeking investments. More attention should be given to the impact of technological developments and digital globalization. ",
No. 229: ,Could BITs and BATs be combined to ensure access to human rights remedies?,No. 229: ,/sites/default/files/content/docs/publications/No-229-Gaffney-FINAL.pdf,",” by John Gaffney",
,中文版,"The UNGPs require governments to ensure that, when human rights abuses occur in the context of business activities within their territory, the victims of such abuses have access to effective remedies. This ",/sites/default/files/content/docs/publications/No-229-Gaffney-FINAL-CHINESE-version.pdf,suggests how they may do so in an investment context by merging the “BAT” concept into BITs. ,
No. 228: ,Investment facilitation: moving beyond investment promotion,No. 228: ,/sites/default/files/content/docs/publications/No-228-Hees-and-Paranhos-FINAL.pdf,",” by Felipe Hees and Pedro Barreto da Rocha Paranhos",
,中文版,"The discussions on investment facilitation at the multilateral level require clarifying the distinction between investment promotion and investment facilitation. They lie on a continuum: while “promotion” is based on disseminating information about comparative advantages and investment opportunities of a country, “facilitation” aims at establishing common procedures for all investors. ",/sites/default/files/content/docs/publications/No-228-Hees-and-Paranhos-FINAL-CHINESE-version.pdf,,
No. 227: ,MNEs and the Sustainable Development Goals: what do first steps reveal?,No. 227: ,/sites/default/files/content/docs/publications/No-227-van-Tulder-and-van-Zanten-FINAL.pdf,",” by Rob van Tulder and Jan Anton van Zanten",
,中文版,"The Sustainable Development Goals (SDGs) provide a coherent framework for the implementation of business models that aim at the needs of society. Corporate support for the SDGs is positive, but also relatively reactive. Policies are proposed to help companies embrace SDGs aimed at “doing good,” instead of “avoiding harm.” ",/sites/default/files/content/docs/publications/No-227-van-Tulder-and-van-Zanten-FINAL_0.pdf,,
No. 226: ,Investment facilitation at the WTO is not investment redux,No. 226: ,/sites/default/files/content/docs/publications/No-226-Hamdani-FINAL.pdf,by Khalil Hamdani,
,中文版,"Discussion of investment facilitation at the WTO should enhance the development dimension of the Trade Facilitation Agreement. It should be focused, open-ended, inclusive, and allow for individual country implementation capacity. It should engage trading partners in capacity building of weaker members. It should envisage a counterpart Investment Facilitation Agreement. ",/sites/default/files/content/docs/publications/No-226-Hamdani-FINAL-CHINESE-version.pdf,,
No. 225: ,"To succeed in China, focus on interests rather than rules",No. 225: ,/sites/default/files/content/docs/publications/No-225-Enright-FINAL.pdf,",” by Michael J. Enright",
,中文版,"Interests, not rules have driven China’s approach toward inward FDI. As President Xi Jinping consolidates power, China becomes more assertive on the world stage, and Chinese companies become more capable, foreign companies will increasingly have to demonstrate the specific value they generate for China to access China opportunities. ",/sites/default/files/content/docs/publications/No-225-Enright-FINAL-CHINESE-version.docx.pdf,,
No. 224: ,What’s next for the investment facilitation agenda?,No. 224: ,/sites/default/files/content/docs/publications/No-224-Berger-FINAL.pdf,",” by Axel Berger",
,中文版,"Investment-facilitation discussions have been dynamic recently in international forums such as the G20 and the WTO. Interestingly, this agenda is pursued by developed and developing countries alike. While multilateral rules would be preferable, a plurilateral agreement negotiated among a group of like-minded countries seems most promising – at least for now. ",/sites/default/files/content/docs/publications/No-224-Berger-FINAL-CHINESE-version.pdf,,
No. 223: ,Investment arbitration liability insurance: a possible solution for concerns of a regulatory chill?,No. 223: ,/sites/default/files/content/docs/publications/No-223-Chriki-FINAL.pdf,” by David Chriki,
,中文版,"Regulatory chill, a key tension between international investment agreements (IIAs) and democratic governance, could be dealt with by creating liability insurance for governments. Existing government insurance programs provide helpful guidelines for an investment arbitration liability insurance that could protect governments’ policy space while maintaining the protection IIAs provide to investors. ",/sites/default/files/content/docs/publications/No-223-Chriki-FINAL-CHINESE-version.pdf,,
No. 222: ,Facilitating investment for sustainable development: it matters for Africa,No. 222: ,/sites/default/files/content/docs/publications/No-222-Mbengue-FINAL.pdf,",” by Makane Moïse Mbengue",
,中文版,Investment facilitation is high on the agenda of trade and investment negotiations. This ,/sites/default/files/content/docs/publications/No-222-Mbengue-FINAL-CHINESE-version.pdf," emphasizes the need for African countries to use investment facilitation as a tool for sustainable development. It also urges African countries to engage actively in discussions regarding investment facilitation, in particular within the WTO. ",
No. 221: ,Sustainable FDI for sustainable development,No. 221: ,/sites/default/files/content/docs/publications/No-221-Sauvant-and-Mann-FINAL.pdf,",” by Karl P. Sauvant and Howard Mann",
,中文版,"Based on an examination of 150 instruments (ranging from international investment agreements to MNE codes) that deal with the interaction between host countries and MNEs, this ",/sites/default/files/content/docs/publications/No-221-Sauvant-and-Mann-FINAL-CHINESE-version.pdf," identifies common FDI sustainability characteristics and suggests ways in which stakeholders can utilize and promote them, including in the context of investment facilitation. ",
No. 220: ,Responsible FDI is no longer optional,No. 220: ,/sites/default/files/content/docs/publications/No-220-Nieuwenkamp-FINAL_0.pdf,",” by Roel Nieuwenkamp",
,中文版,"Responsible foreign direct investment is no longer optional, but morally binding. The OECD Guidelines for Multinational Enterprises and its global system of responsible business authorities provides concrete examples of this trend. Increasingly, hard consequences are attached by governments and investors to non-compliance with international standards on responsible business conduct. ",/sites/default/files/content/docs/publications/No-220-Nieuwenkamp-FINAL-CHINESE-version.pdf,,
No. 219: ,The EU investment court: challenges on the path ahead,No. 219: ,/sites/default/files/content/docs/publications/No-219-Chaisse-and-Vaccaro-Incisa-FINAL.pdf,",” by Julien Chaisse and Matteo Vaccaro-Incisa",
,中文版,The bilateral investment court system the EU buttressed since 2015 risks losing momentum in the face of complex internal and external challenges. This ,/sites/default/files/content/docs/publications/No-219-Chaisse-and-Vaccaro-Incisa-FINAL-CHINESE-version.pdf," weighs these challenges against the recent UNCITRAL decision to address ISDS reform, providing for a better framework to seek for shared global solutions to long-expressed concerns. ",
No. 218: ,Europe’s new investment policy faces an uncertain future,No. 218: ,/sites/default/files/content/docs/publications/No-218-Beaumier-and-Ouellet-FINAL.pdf,",” by Guillaume Beaumier and Richard Ouellet",
,中文版,"An analysis of the recent European FTAs reveals important trends in the development of a unified European investment policy, which includes an unprecedented “market liberalization” approach. Facing mounting criticism of international investment law and rising dissatisfaction in EU member states, the future of these new trends may be bleak. ",/sites/default/files/content/docs/publications/No-218-Beaumier-and-Ouellet-FINAL-CHINESE-version.pdf,,
No. 217: ,"The Pan-African Investment Code a good first step, but more is needed",No. 217: ,/sites/default/files/content/docs/publications/No-217-Kane-FINAL.pdf,",” by Mouhamadou Madana Kane",
,中文版,"Achieving Africa’s structural transformation requires adopting an investment policy framework that promotes FDI while protecting the interests of African countries. The Pan-African Investment Code is an important step in this direction, but its non-binding character calls for influencing the content of other regional instruments to achieve greater impact. ",/sites/default/files/content/docs/publications/No-217-Kane-FINAL-CHINESE-version.pdf,,
No. 216: ,"IIA provisions, properly interpreted, are fully consistent with a robust regulatory state",No. 216: ,/sites/default/files/content/docs/publications/No-216-Vandevelde-FINAL.pdf,",” by Kenneth J. Vandevelde",
,中文版,"The provisions of contemporary international investment agreements trace their origins to the U.S. postwar friendship, commerce and navigation treaties, which were rooted in the liberalism of Franklin Roosevelt’s New Deal. Their negotiating history demonstrates that the original understanding of these provisions is wholly consistent with a robust regulatory state. ",/sites/default/files/content/docs/publications/No-216-Vandevelde-FINAL-CHINESE-version.pdf,,
,, ,,,
No. 215: ,Beware of FDI statistics!,No. 215: ,/sites/default/files/content/docs/publications/No-215-Sauvant-FINAL.pdf,",” by Karl P. Sauvant",
,中文版,"FDI statistics have a number of serious shortcomings that limit their accuracy, and therefore also their usefulness for analysis. This ",/sites/default/files/content/docs/publications/No-215-Sauvant-FINAL-CHINESE-version.pdf,identifies five shortcomings whose correction should be prioritized and provides advice on how to do so. ,
No. 214: ,A European Committee on Foreign Investment?,No. 214: ,/sites/default/files/content/docs/publications/No-214-Di-Benedetto-FINAL.pdf,by Fabrizio Di Benedetto,
,中文版,"In September, the EU Commission presented a proposal for the establishment of a common framework for the screening of non-EU FDI, which has recently been a hot topic in Europe. This ",/sites/default/files/content/docs/publications/No-214-Di-Benedetto-FINAL-CHINESE-version.pdf," tries to confront the Commission’s proposal with other solutions, including the establishment of a European Committee on FDI. ",
No. 213: ,Parsing the myth and reality of employment creation through resource investments,No. 213: ,/sites/default/files/content/docs/publications/No-213-Toledano-Östensson-and-Cordes-FINAL.pdf,",” by Perrine Toledano, Olle Östensson and Kaitlin Y. Cordes",
,中文版,Employment creation is often claimed as an important benefit of investment in mining and large-scale agriculture. A closer look at employment tied to these investments provides greater clarity on the challenges of estimating employment effects and optimizing employment outcomes through targeted policies. ,/sites/default/files/content/docs/publications/No-213-Toledano-Östensson-and-Cordes-FINAL-CHINESE-version.pdf,,
No. 212: ,"The rise of nationalism, FDI, and the multinational enterprise",No. 212: ,/sites/default/files/content/docs/publications/Perspective-Formatted-Kobrin-November-6-2017.pdf,",” by Stephen Kobrin",
,中文版,The populist reaction renders interest groups politics a less important determinant of economic policy than ideologically driven nationalism. Risk to MNEs and FDI will increase as policy becomes less predictable and “rational” arguments have less traction. Investors and corporations must address legitimate grievances and take nationalism into account in decision-making. ,/sites/default/files/content/docs/publications/No-212-Kobrin-FINAL-CHINESE-version.pdf,,
No. 211: ,NAFTA 2.0: a way forward for the investment chapter,No. 211: ,/sites/default/files/content/docs/publications/No-211-Hodgson-FINAL.pdf,",” by Mélida Hodgson",
,中文版,"The contentious NAFTA negotiations have yet to produce a concrete proposal for the investment chapter. The Trans-Pacific Partnership investment chapter, an improvement over NAFTA, can be enhanced to create a modern chapter that balances national interests. This ",/sites/default/files/content/docs/publications/No-211-Hodgson-FINAL-CHINESE-version.pdf, offers some ideas of how to get there. ,
No. 210: ,The importance of negotiating good contracts,No. 210: ,/sites/default/files/content/docs/publications/No-210-Sauvant-FINAL.pdf,",” by Karl P. Sauvant",
